id,t,s,x,y,v,e,e1,t_local,blink,plateau,state,ramp_direction,sp_start_time,sp_end_time,sp_start_displacement,sp_end_displacement,sp_duration,qp_start_time,qp_end_time,qp_start_displacement,qp_end_displacement,qp_duration,chain_id,expected_sp_ramp_direction,expected_qp_ramp_direction,expected_qp_peak_velocity,expected_sp_end_peak_type,expected_qp_end_peak_type,expected_sp_end_bound,result_id,result_chain_id,is_sp,is_qp
0,0,1688529003.6628048,0.43256448296939626,0.478694435402199,0.00292847111269047,-1,-1,0,,,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,2,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
1,0.07081103324890137,1688529003.6828,0.43277185103472543,0.478694435402199,0.005405634492158732,-1,-1,0.07081103324890137,,,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,3,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
2,0.07180905342102051,1688529003.7028298,0.4329526564654182,0.47876835575810184,0.03625707311036472,-1,-1,0.07180905342102051,,,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,4,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
3,0.07579779624938965,1688529003.7228,0.4329526564654182,0.47869867395471644,0.03115915838207355,-1,-1,0.07579779624938965,,,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,5,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
4,0.08178138732910156,1688529003.742796,0.433263385997099,0.478694435402199,0.09226172564243798,-1,-1,0.08178138732910156,,,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,6,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
5,0.10073184967041016,1688529003.762796,0.4352531152613023,0.4785213329173901,0.06234971363982502,-1,-1,0.10073184967041016,,,SEARCH_SP,UPWARD,0,0,0,0,0,0,0,0,0,0,7,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
6,0.12367010116577148,1688529003.7827837,0.43587513530955596,0.4779118855794271,0.032110873885595984,-1,-1,0.12367010116577148,,,SEARCH_SP,UPWARD,0,0,0,0,0,0,0,0,0,0,8,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
7,0.1406242847442627,1688529003.802777,0.4365340962129481,0.4771434642650463,0.017387391421317473,-1,-1,0.1406242847442627,,,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,9,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
8,0.16156888008117676,1688529003.822811,0.4365340962129481,0.4771434642650463,0,-1,-1,0.16156888008117676,,0.4444444444444444,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,10,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
9,0.18051791191101074,1688529003.8428037,0.4365340962129481,0.4771434642650463,-0.016871888953941306,-1,-1,0.18051791191101074,,0.4444444444444444,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,11,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
10,0.20245933532714844,1688529003.862797,0.43584419699276195,0.4817108719437211,-0.15894906732467215,-1,-1,0.20245933532714844,1,0.3333333333333333,SEARCH_SP,INDETERMINATE,0,0,0,0,0,0,0,0,0,0,12,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
11,0.2204117774963379,1688529003.8827927,0.4301930034861845,0.4895170423719618,-0.16837854452823436,-1,-1,0.2204117774963379,1,0.3333333333333333,SEARCH_SP,DOWNWARD,0.2204117774963379,0,0.4301930034861845,0,0,0,0,0,0,0,12,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
12,0.24135613441467285,1688529003.9028168,0.42929481057559743,0.4910100866247107,-0.02094360687603259,-1,-1,0.24135613441467285,1,0.3333333333333333,SEARCH_SP,DOWNWARD,0.2204117774963379,0.24135613441467285,0.4301930034861845,0.42929481057559743,0.02094435691833496,0.24135613441467285,0.24135613441467285,0.42929481057559743,0.42929481057559743,0,12,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
13,0.26329803466796875,1688529003.922854,0.42929481057559743,0.4910619665075231,0,-1,-1,0.26329803466796875,1,0.4444444444444444,IN_SP,INDETERMINATE,0.2204117774963379,0.26329803466796875,0.4301930034861845,0.42929481057559743,0.04288625717163086,0.26329803466796875,0.26329803466796875,0.42929481057559743,0.42929481057559743,0,12,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
14,0.28025269508361816,1688529003.9427948,0.42929481057559743,0.4910619665075231,0.009087121052323158,-1,-1,0.28025269508361816,1,0.5555555555555556,IN_SP,INDETERMINATE,0.2204117774963379,0.28025269508361816,0.4301930034861845,0.42929481057559743,0.05984091758728027,0.28025269508361816,0.28025269508361816,0.42929481057559743,0.42929481057559743,0,12,DOWNWARD,UPWARD,UPWARD,MINIMA,MAXIMA,LOWER,-1,-1,false,false
